vendedor_id,vendedor_nome,vendedor_telefone,cliente_id,cliente_nome,cliente_telefone,cliente_email,produto_id,produto_nome,produto_preco,produto_sku
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,1,Recycled Steel Computer,64.00,2188
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,2,Elegant Wooden Chips,447.00,516
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,3,Gorgeous Cotton Chair,893.00,2779
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,4,Small Fresh Chicken,884.00,8120
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,5,Practical Soft Pants,711.00,446
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,6,Incredible Frozen Ball,247.00,433
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,7,Fantastic Metal Shirt,673.00,1383
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,8,Sleek Plastic Sausages,384.00,8950
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,9,Refined Bronze Table,886.00,80930
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,10,Handmade Granite Soap,240.00,0000
1,Katie McDermott,406-471-8338,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,11,Electronic Metal Pizza,351.00,7238
