vendedor_id,vendedor_nome,vendedor_telefone,cliente_id,cliente_nome,cliente_telefone,cliente_email,produto_id,produto_nome,produto_preco,produto_sku
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,32,Luxurious Fresh Mouse,540.00,6493
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,33,Small Metal Shoes,187.00,997
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,34,Incredible Plastic Sausages,848.00,3839
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,35,Incredible Soft Ball,757.00,1454
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,36,Oriental Frozen Computer,590.00,139
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,37,Elegant Granite Bacon,84.00,302
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,38,Sleek Bronze Salad,645.00,7439
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,39,Generic Granite Hat,984.00,84134
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,40,Modern Wooden Hat,998.00,76790
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,41,Recycled Granite Gloves,620.00,014
4,Jessica Medhurst,443-237-1645,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,42,Modern Soft Sausages,186.00,792
